Quarter, MgmtPlaneGA, MgmtPlanePreview, DataPlaneGA, DataPlanePreview
2017-06-30,0,0,0,0
2017-09-30,0,0,0,0
2017-12-31,64,50,21,3
2018-03-31,26,19,9,3
2018-06-30,25,29,11,6
2018-09-30,19,27,4,1
2018-12-31,14,15,9,4
2019-03-31,17,18,5,1
2019-06-30,23,22,6,5
2019-09-30,22,18,6,2
2019-12-31,33,19,7,8
2020-03-31,29,20,6,7
2020-06-30,25,20,6,9
2020-09-30,30,39,6,24
2020-12-31,29,28,3,13
2021-03-31,51,40,10,10
2021-06-30,45,43,15,30
2021-09-30,53,38,10,27
2021-12-31,36,30,8,19
2022-03-31,43,38,7,13
2022-06-30,45,45,4,16
