Quarter, MgmtPlaneGA, MgmtPlanePreview, DataPlaneGA, DataPlanePreview
2017-12-31,64,22,21,1
2018-03-31,74,20,28,2
2018-06-30,83,30,32,5
2018-09-30,88,38,33,5
2018-12-31,93,37,38,6
2019-03-31,111,28,43,4
2019-06-30,128,20,45,7
2019-09-30,130,26,46,8
2019-12-31,135,27,50,9
2020-03-31,152,16,54,7
2020-06-30,158,17,58,9
2020-09-30,161,23,59,29
2020-12-31,164,29,61,32
2021-03-31,182,23,70,28
2021-06-30,187,27,75,32
2021-09-30,197,22,79,46
2021-12-31,199,28,84,44
2022-03-31,212,20,89,42
2022-06-30,223,17,97,36
